Handle,Name,Birthday,Height,Unit,Fan Name,Hashtags,URL,Unnamed: 0
@OtonoseKanade,Otonose Kanade,April 20,153 cm,ReGLOSS,Oto-no-zei,Stream Tag: #生音乃瀬 | Art Tag: #Artnose,https://hololive.hololivepro.com/en/talents/otonose-kanade/,27
@IsakiRiona,Isaki Riona,May 29,160 cm,FLOW GLOW,-,-,https://hololive.hololivepro.com/en/talents/isaki-riona/,22
@ShiranuiFlare,Shiranui Flare,April 2,158 cm,hololive 3rd Generation,Elfriend,Stream Tag: #フレアストリーム | Fan Art: #しらぬえ,https://hololive.hololivepro.com/en/talents/shiranui-flare/,64
@PavoliaReine,Pavolia Reine,September 9,-,hololive Indonesia,MERAKyats | Coined from Merak (peafowl) and rakyat (people/citizen) essentially meaning 'people of the peafowl'. The word 'merakyat' itself means 'being humble' or 'close to the people'. This is also used as her stream end greeting where she says 'Salam MERAKyats' which roughly translates to 'MERAKyats greetings'.,LIVE: #Pavolive | Fan Art: #Reinessance | Clever isn't it?,https://hololive.hololivepro.com/en/talents/pavolia-reine/,72
@MoriCalliope,Mori Calliope,April 4,167 cm,hololive English -Myth-,Dead Beats,Stream Tags: #calliolive #カリオライブ | Fan Art: #callillust #カリイラスト,https://hololive.hololivepro.com/en/talents/mori-calliope/,30
@IRyS,IRyS,March 7,166 ㎝,hololive English -Promise-,IRyStocrats,-,https://hololive.hololivepro.com/en/talents/irys/,71
@OokamiMio,Ookami Mio,August 20,160 cm,hololive GAMERS,Mio-fam (abbreviation of Mio Family),Stream Tag: #ミオかわいい | Fan Art: #みおーん絵,https://hololive.hololivepro.com/en/talents/ookami-mio/,43
@RindoChihaya,Rindo Chihaya,July 8,168 cm,FLOW GLOW,-,-,https://hololive.hololivepro.com/en/talents/rindo-chihaya/,63
@CeresFauna,[Alum] Ceres Fauna,March 21,164 cm,hololive English -Promise-,Saplings,Stream Tag: #faunline | Fan Art: #FineFaunart,https://hololive.hololivepro.com/en/talents/ceres-fauna/,18
@GawrGura,[Alum] Gawr Gura,June 20,141 cm,hololive English -Myth-,chumbuds,Stream Tag: #gawrgura | Fan Art: #gawrt,https://hololive.hololivepro.com/en/talents/gawr-gura/,49
@MurasakiShion,[Alum] Murasaki Shion,December 8,145 cm,hololive 2nd Generation,Shiokko (Shio-ldren),Stream Tag: #紫咲シオン | Fan Art: #シオンの書物,https://hololive.hololivepro.com/en/talents/murasaki-shion/,21
@usadapekora,Usada Pekora,January 12,153 cm,hololive 3rd Generation,Nousagi Doumei,Stream Tag: #ぺこらいぶ | Fan Art: #ぺこらーと,https://hololive.hololivepro.com/en/talents/usada-pekora/,19
@YuzukiChoco,Yuzuki Choco,February 14,165 cm,hololive 2nd Generation,Chocomates,Stream Tag: #癒月診療所 | Fan Art: #しょこらーと,https://hololive.hololivepro.com/en/talents/yuzuki-choco/,29
@TokinoSora,Tokino Sora,May 15,160 cm,hololive Generation 0,Sora-tomo (Sora's Pals),Stream Tags: #ときのそら生放送 | #ときのそら実況するってよ | Fan Art: #そらArt,https://hololive.hololivepro.com/en/talents/tokino-sora/,40
@ShiroganeNoel,Shirogane Noel,November 24,158 cm,hololive 3rd Generation,Knight's Order of Shirogane (Shirogane kishidan),Stream Tag: #ノエルーム | Fan Art: #ノエラート,https://hololive.hololivepro.com/en/talents/shirogane-noel/,34
@AkiRosenthal,Aki Rosenthal,February 17,162 cm,hololive 1st Generation,Rose Knights,Stream Tag: #アキびゅーわーるど | Fan Art: #アロ絵,https://hololive.hololivepro.com/en/talents/aki-rosenthal/,52
@KureijiOllie,Kureiji Ollie,October 13,162 cm,hololive Indonesia,ZOMRADE,-,https://hololive.hololivepro.com/en/talents/kureiji-ollie/,5
@KoganeiNiko,Koganei Niko,July 25,172 cm,FLOW GLOW,-,-,https://hololive.hololivepro.com/en/talents/koganei-niko/,66
@holoANroom,Harusaki Nodoka,May 7,154 cm,holoAN,-,Stream Tag: #はるさきじかん | Fan Art: #のどかあーと,https://hololive.hololivepro.com/en/talents/harusaki-nodoka/,25
@MomosuzuNene,Momosuzu Nene,March 2,159 cm,hololive 5th Generation,Husbands (or Wives),Stream Tag: #ねねいろらいぶ | Fan Art: #ねねアルバム,https://hololive.hololivepro.com/en/talents/momosuzu-nene/,8
@FUWAMOCOch,Mococo Abyssgard,February 2,155 cm,hololive English -Advent-,-,-,https://hololive.hololivepro.com/en/talents/mococo-abyssgard/,51
@ShirakamiFubuki,Shirakami Fubuki,October 5,155cm,hololive 1st Generation/Gamers,Sukonbu (Su-Corn)/Friends,Stream Tag: #フブキCh | Fan Art: #絵フブキ,https://hololive.hololivepro.com/en/talents/shirakami-fubuki/,37
@HoshimachiSuisei,Hoshimachi Suisei,March 22,160 cm,hololive Generation 0,Hoshiyomi (Stargazers),Stream Tag: #ほしまちすたじお | Fan Art: #ほしまちぎゃらりー,https://hololive.hololivepro.com/en/talents/hoshimachi-suisei/,17
@NekomataOkayu,Nekomata Okayu,February 22,152 cm,hololive GAMERS,Onigiryaa,Stream Tag: #生おかゆ | Fan Art: #絵かゆ,https://hololive.hololivepro.com/en/talents/nekomata-okayu/,12
@TsunomakiWatame,Tsunomaki Watame,June 6,151 cm,hololive 4th Generation,Watamates,Stream Tag: #ドドドライブ | Fan Art: #つのまきあーと | Clips: #わたわた動画,https://hololive.hololivepro.com/en/talents/tsunomaki-watame/,69
@HimemoriLuna,Himemori Luna,October 10,140 cm,hololive 4th Generation,Lu-knights,Stream Tag: #なのらいぶ | Fan Art: #ルーナート,https://hololive.hololivepro.com/en/talents/himemori-luna/,1
@holoen_gigimurin,Gigi Murin,October 18,153 cm,hololive English -Justice-,-,-,https://hololive.hololivepro.com/en/talents/gigi-murin/,44
@JuufuuteiRaden,Juufuutei Raden,February 4,159 cm,ReGLOSS,Den-Kin,Stream Tag: #らでん記 | Art Tag: #らでん似絵,https://hololive.hololivepro.com/en/talents/juufuutei-raden/,10
@HakuiKoyori,Hakui Koyori,March 15,153 ㎝,holoX,Koyori's Assistants,Stream Tags : #こより実験中 | Fan Art : #こよりすけっち,https://hololive.hololivepro.com/en/talents/hakui-koyori/,55
@AkaiHaato,Akai Haato,August 10,154 cm,hololive 1st Generation,Haaton (Haato + pigs),Stream Tag: #はあちゃまなう | Fan Art: #はあとart,https://hololive.hololivepro.com/en/talents/akai-haato/,6
@WatsonAmelia,[Affiliate] Watson Amelia,January 6,150 cm,hololive English -Myth-,teamates,Stream Tag:#amelive | Fan Art:#ameliaRT,https://hololive.hololivepro.com/en/talents/watson-amelia/,46
@TokoyamiTowa,Tokoyami Towa,August 8,150 cm,hololive 4th Generation,TOKOYAMI KENZOKU,Stream Tag: #トワイライヴ | Fan Art: #TOWART | Clips: #CUTOWA,https://hololive.hololivepro.com/en/talents/tokoyami-towa/,75
@AZKi,AZKi,July 1,158 cm,hololive Generation 0 | SorAZ | Shotgun Rose,Kaitakusha (Pioneers),Fan Art: #AZKiART | Streams: #あずきんち | hololy ＆ pilgrimage: #どこAZ | Music Impressions: #AZ歌 | Voice Impressions: #AZ声 | Shorts：#ぷちあず,https://hololive.hololivepro.com/en/talents/azki/,73
@NerissaRavencroft,Nerissa Ravencroft,November 21,175 cm,hololive English -Advent-,-,-,https://hololive.hololivepro.com/en/talents/nerissa-ravencroft/,56
@SakuraMiko,Sakura Miko,March 5,152 cm,hololive Generation 0,35P (read as 'Miko-P'),Stream Tag: #みこなま | Fan Art: #miko_Art | MMD works: #さくらみこMMD,https://hololive.hololivepro.com/en/talents/sakuramiko/,2
@NatsuiroMatsuri,Natsuiro Matsuri,July 22,152 cm,hololive 1st Generation,Matsurisu (abbreviation of 'Matsuri viewers' in Japanese. Represented as squirrels because 'risu' = 'squirrel'),Stream Tag: #夏まつch | Fan Art: #祭絵,https://hololive.hololivepro.com/en/talents/natsuiro-matsuri/,54
