Handle,Name,default_image,datetime1,datetime2,datetime3,description1,description2,description3,image1,image2,image3,youtube_link1,youtube_link2,youtube_link3,Unnamed: 0
@VestiaZeta,Vestia Zeta,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Vestia-Zeta_pr-img_01.png,,,,,,,,,,,,,74
@HoshimachiSuisei,Hoshimachi Suisei,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Hoshimachi-Suisei_pr-img_01.png,,,,,,,,,,,,,17
@ShirakamiFubuki,Shirakami Fubuki,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirakami-Fubuki_pr-img_01.png,,,,,,,,,,,,,37
@AkaiHaato,Akai Haato,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Akai-Haato_pr-img_01.png,08.08 06:15,,,[Radio English Conversation] Chama! summer! English!! ️🛟#6 [RADIO ENGLISH],,,https://img.youtube.com/vi/DS0guZrrjzA/mqdefault.jpg,,,https://www.youtube.com/watch?v=DS0guZrrjzA,,,6
@holoen_ceciliaimmergreen,Cecilia Immergreen,https://hololive.hololivepro.com/wp-content/uploads/2023/07/Cecilia-Immergreen_pr-img_01.png,,,,,,,,,,,,,57
@TokinoSora,Tokino Sora,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Tokino-Sora_pr-img_01.png,,,,,,,,,,,,,40
@KoganeiNiko,Koganei Niko,https://hololive.hololivepro.com/wp-content/uploads/2024/11/Koganei-Niko_pr-img_01.png,,,,,,,,,,,,,66
@NatsuiroMatsuri,Natsuiro Matsuri,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Natsuiro-Matsuri_pr-img_01.png,,,,,,,,,,,,,54
@AiraniIofifteen,Airani Iofifteen,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Airani-Iofifteen_pr-img_01.png,,,,,,,,,,,,,35
@HoushouMarine,Houshou Marine,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Houshou-Marine_pr-img_01.png,08.07 07:00,,,"[#Pekomari Exercise] Will Holomen come? Pekora, let's get off after all! Day 6 [Hololive/Usada Pekora/Horakane Marine]",,,https://img.youtube.com/vi/6pb5ms3oLms/mqdefault.jpg,,,https://www.youtube.com/watch?v=6pb5ms3oLms,,,23
@MomosuzuNene,Momosuzu Nene,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Momosuzu-Nene_pr-img_01.png,,,,,,,,,,,,,8
@MoriCalliope,Mori Calliope,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Mori-Calliope_pr-img_01.png,,,,,,,,,,,,,30
@AyundaRisu,Ayunda Risu,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Ayunda-Risu_pr-img_01.png,,,,,,,,,,,,,28
@WatsonAmelia,[Affiliate] Watson Amelia,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Watson-Amelia_pr-img_01.png,,,,,,,,,,,,,46
@KoboKanaeru,Kobo Kanaeru,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Kobo-Kanaeru_pr-img_01.png,,,,,,,,,,,,,48
@HakosBaelz,Hakos Baelz,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Hakos-Baelz_pr-img_01.png,08.07 10:00,,,<Ace Attorney: Justice For All> GRAND FINALE!!! ... First Playthrough! #7 [SPOILER WARNING],,,https://img.youtube.com/vi/uERIYwcJYuo/mqdefault.jpg,,,https://www.youtube.com/watch?v=uERIYwcJYuo,,,32
@IsakiRiona,Isaki Riona,https://hololive.hololivepro.com/wp-content/uploads/2024/11/Isaki-Riona_pr-img_01.png,,,,,,,,,,,,,22
@IchijouRirika,Ichijou Ririka,https://hololive.hololivepro.com/wp-content/uploads/2024/10/Ichijou-Ririka_pr-img_01_a.png,,,,,,,,,,,,,33
@JuufuuteiRaden,Juufuutei Raden,https://hololive.hololivepro.com/wp-content/uploads/2024/10/Juufuutei-Raden_pr-img_01_a.png,08.07 10:00,,,[Raden Study Room] August 7th 10:00-11:00 [Raden ReGLOSS],,,https://img.youtube.com/vi/97hLiThzkuM/mqdefault.jpg,,,https://www.youtube.com/watch?v=97hLiThzkuM,,,10
@GawrGura,[Alum] Gawr Gura,https://hololive.hololivepro.com/wp-content/uploads/2024/05/Gawr-Gura_pr-img_01.png,,,,,,,,,,,,,49
@OmaruPolka,Omaru Polka,https://hololive.hololivepro.com/wp-content/uploads/2024/12/Omaru-Polka_pr-img_01.png,,,,,,,,,,,,,15
@HakuiKoyori,Hakui Koyori,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Hakui-Koyori_pr-img_01.png,08.07 12:00,08.07 19:00,08.08 19:00,"[Pikachu Genki Dechu] A complete first time viewing! Finally, I'm summoned with the Instructionist Marine! ! ! ⚡~Day 4~ #Koyori and Pikachu [Horoku Marine/Hikikoyori/Hololive]",[Interview Collab] #Discord Shocking ~This Month's Guest: Ishigami Nozomi~ [Hiroko/Hololive],"[ #Vtuber Senryu ] 2025 work presentation! ~Guest: Professor Yuuufutei Raden~ [Hi Koyori, Yuufutei Raden/Hololive]",https://img.youtube.com/vi/3SRNeHe4F5M/mqdefault.jpg,https://img.youtube.com/vi/JktIKeTlr_g/mqdefault.jpg,https://img.youtube.com/vi/iMT9XEoaG-4/mqdefault.jpg,https://www.youtube.com/watch?v=3SRNeHe4F5M,https://www.youtube.com/watch?v=JktIKeTlr_g,https://www.youtube.com/watch?v=iMT9XEoaG-4,55
@TsukumoSana,[Alum] Tsukumo Sana,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Tsukumo-Sana_pr-img_01.png,,,,,,,,,,,,,36
