handle,video_id,title,published_at,live_broadcast_content,actual_start_time,actual_end_time,scheduled_start_time,duration_hours,view_count,like_count,comment_count
@NakiriAyame,SzuAlTDREsc,【 #カゲマス 】余、実装きちゃあああああああああああああああああ！【百鬼あやめ/鷹嶺ルイ/ホロライブ】,2025-08-21T11:22:21Z,none,2025-08-21T10:01:33Z,2025-08-21T11:15:29Z,2025-08-21T10:00:00Z,1.23,176486,10796,108
@NakiriAyame,08tWy9YWmsA,【 VALORANT 】ちょっとだけですからね【百鬼あやめ/ホロライブ】,2025-08-19T18:17:59Z,none,2025-08-19T12:02:10Z,2025-08-19T17:54:40Z,2025-08-19T12:00:00Z,5.88,205110,12641,66
@HimemoriLuna,tBuz-nWxVdM,【 ミニ四駆 】ぞうしゃん作るのらああああ！！！🐘 MAKING MINI 4WD ELEPHANT RACER　第４回【姫森ルーナ/ホロライブ】,2025-08-23T13:21:15Z,none,2025-08-23T08:57:04Z,2025-08-23T13:00:49Z,2025-08-23T09:00:00Z,4.06,144277,8173,133
@HimemoriLuna,mnVcV5or5tw,五目並べやるのら……ぞっ！！！(・o・🍬)【姫森ルーナ/ホロライブ】,2025-08-20T13:26:00Z,none,2025-08-20T09:57:21Z,2025-08-20T12:58:41Z,2025-08-20T10:00:00Z,3.02,94626,6857,129
@HimemoriLuna,oNye6RKKqMM,【 The Witcher 3 Wild Hunt 】ウィッチャー3 で遊んでみるのら！！！【姫森ルーナ/ホロライブ】,2025-08-19T16:04:26Z,none,2025-08-19T09:57:36Z,2025-08-19T15:39:46Z,2025-08-19T10:00:00Z,5.7,99678,7067,94
@HimemoriLuna,dyzEUFBCBlY,【 Dread Flats (凶寓) | ホラゲ 】こりは怖くてダメかもしれない…👻集団失踪したマンションに泊まってみるのら！！！【姫森ルーナ/ホロライブ】,2025-08-18T14:50:39Z,none,2025-08-18T09:57:46Z,2025-08-18T14:25:34Z,2025-08-18T10:00:00Z,4.46,194950,9627,137
@SakuraMiko,ZEnmQCmtV8c,【 ポケモンルビー 】色違い耐久２２日目🎣みこちと金コイ伝説～最弱からみんなで最強に育てる旅～【ホロライブ/さくらみこ】,2025-08-23T16:19:15Z,none,2025-08-23T13:35:57Z,2025-08-23T16:10:40Z,2025-08-23T13:31:54Z,2.58,355190,12671,115
@SakuraMiko,J6QC95ewUFg,【 ポケモンルビー 】色違い耐久２２日目🎣みこちと金コイ伝説～最弱からみんなで最強に育てる旅～【ホロライブ/さくらみこ】,2025-08-23T13:43:06Z,none,2025-08-23T11:04:22Z,2025-08-23T13:32:38Z,2025-08-23T11:00:00Z,2.47,357459,14436,69
@SakuraMiko,4n02dZlcUFA,【 Prison Escape Simulator: Dig Out】俺は脱獄するぞ！！！！！！！！！！！！【ホロライブ/さくらみこ】,2025-08-22T15:05:43Z,none,2025-08-22T11:24:33Z,2025-08-22T14:46:31Z,2025-08-22T11:20:00Z,3.37,356887,14956,110
@SakuraMiko,-RaaHW-c6go,【グルーヴコースター】初公開アリ‼ みこが声優を務めたグルーヴコースターやってくぜぇぇぇ‼【ホロライブ/さくらみこ】,2025-08-22T11:14:30Z,none,2025-08-22T10:02:31Z,2025-08-22T11:09:06Z,2025-08-22T10:00:00Z,1.11,112967,8487,73
@SakuraMiko,cgkGaikn7FI,【マリオカート8DX 】３位以内だけ喋れる全集中マリオカート！！！！！！！！！！【ホロライブ/さくらみこ】,2025-08-21T12:29:19Z,none,2025-08-21T11:03:52Z,2025-08-21T12:15:31Z,2025-08-21T11:00:00Z,1.19,265075,13714,254
@SakuraMiko,bGfpQxRYt84,#10【#ホロ7DTDハード】雪原だあああ‼ハードモードゾンビの世界で生き残るにぇ！！！！【ホロライブ/さくらみこ】,2025-08-20T15:48:59Z,none,2025-08-20T13:02:36Z,2025-08-20T15:36:52Z,2025-08-20T13:00:00Z,2.57,285375,11523,95
@SakuraMiko,lRziilCTU8w,【 恐怖耐性診断テスト 】全然怖くねェし･･！恐怖耐性を診断するにぇ！！！！！！！！！【ホロライブ/さくらみこ】,2025-08-20T13:10:35Z,none,2025-08-20T12:04:47Z,2025-08-20T12:59:00Z,2025-08-20T12:00:00Z,0.9,237194,13008,98
@SakuraMiko,NqLmTrajq_4,【 AmongUs 】緊急‼突発‼7大豆アモアスはじまるにぇ～～～～～～～‼【ホロライブ/さくらみこ】,2025-08-19T14:48:03Z,none,2025-08-19T13:45:17Z,2025-08-19T14:43:41Z,2025-08-19T13:45:00Z,0.97,275861,12589,127
